OrderID,ProductName,Quantity,TotalAmount,CustomerName
1001,Laptop,1,1200,Alice Smith
1002,Smartphone,2,1600,Bob Johnson
1003,Headphones,3,450,Charlie Brown
1004,Monitor,2,600,Diana Prince
1005,Laptop,2,2400,Evan Wright
1006,Keyboard,5,250,Fiona Gallagher
1007,Smartphone,1,800,George Clark
1008,Headphones,2,300,Hannah Abbott
1009,Monitor,1,300,Ian Malcolm
1010,Keyboard,3,150,Julia Roberts
1011,Laptop,1,1200,Kevin Bacon
1012,Smartphone,3,2400,Laura Croft
1013,Headphones,4,600,Michael Scott
1014,Monitor,2,600,Nina Williams
1015,Keyboard,2,100,Oscar Isaac
